"TimeStamp","duration","Name","source","orig.data","commodity","quantity","unit","value","currency","X","Latitude","Longitude"
1893-01-01,"P1Y","Jaffa","E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0","maize | qr | 3246 | gbp | 2580","maize",41226.1029947512,"kg",2580,"gbp",NA,32.05043,34.75224
1892-01-01,"P1Y","Jaffa","E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0","maize | qr | 695 | gbp | 420","maize",8826.90744958474,"kg",420,"gbp",NA,32.05043,34.75224
1893-01-01,"P1Y","Alexandretta","729A9379-398E-48D9-864C-7A56EE088030","cereals | ton | 2394 | gbp | 10357","cereals",2432413.96454979,"kg",10357,"gbp",NA,NA,NA
1892-01-01,"P1Y","Alexandretta","729A9379-398E-48D9-864C-7A56EE088030","cereals | ton | 7113 | gbp | 36211","cereals",7227134.72424507,"kg",36211,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 11328 | gbp | 50000","wheat",11509768.3335088,"kg",50000,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","wheat | ton | 56000 | gbp | 325000","wheat",56898572.2701706,"kg",325000,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","barley | ton | 4850 | gbp | 15500","barley",4927822.77697014,"kg",15500,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","barley | ton | 9400 | gbp | 38100","barley",9550831.7739215,"kg",38100,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","oats | ton | 8110 | gbp | 32500","oats",8240132.51984078,"kg",32500,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","oats | ton | 8300 | gbp | 31200","oats",8433181.247186,"kg",31200,"gbp",NA,NA,NA
1893-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","millet | ton | 825 | gbp | 3300","millet",838237.895051621,"kg",3300,"gbp",NA,NA,NA
1892-01-01,"P1Y","Adana","729A9379-398E-48D9-864C-7A56EE088030","millet | ton | 500 | gbp | 2500","millet",508022.966697952,"kg",2500,"gbp",NA,NA,NA
