date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1878-06-24,65328C7C-8E54-482B-9217-416ED0553D85,the madd of barley sells now at 4 q,barley,1,kile,currency,8,ops,
1883-12-31,806D6639-8550-4E4D-A369-AF52195FC8EB,barley at Ps 11-12,barley,1,kile,currency,11,ops,currency,12,ops,
1887-09-29,E584965E-562F-454F-822D-C10B02D6ADF1,barley at Ps 11 to 13,barley,1,kile,currency,11,ops,currency,13,ops,
1908-07-06,EE124298-8486-4EB8-91CD-B01B7C9962C1,White barley is at Ps 40 - 44,barley,1,kile,currency,13.333333333333332,ops,currency,14.666666666666666,ops,
1909-07-17,F2A0D2E0-0435-44D9-A937-D8E1152D38B0,barley at Ps 11 to Ps 12,barley,1,kile,currency,22,ops,currency,24,ops,
1910-12-01,B4205123-ABA2-4B2A-9A81-A646E33E96C8,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-10,68356295-2350-424C-8CA9-72C3DD895666,barley | 17 - 20,barley,1,kile,currency,17,ops,currency,20,ops,
1910-12-11,7E1AAA9B-58DC-42DC-81D4-9607CE04656C,barley | 17 - 20,barley,1,kile,currency,17,ops,currency,20,ops,
1910-12-12,CF0BAE26-A47B-4226-AC98-70F5112F20B0,barley | 17 - 20,barley,1,kile,currency,17,ops,currency,20,ops,
1910-12-18,56C20475-D53E-4D26-8918-27384F6906A3,barley | 17 - 20,barley,1,kile,currency,17,ops,currency,20,ops,
1910-12-03,911EC9D7-2E7B-4BBA-9A2A-639E36C61EAD,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-04,665E2EC1-E9CF-4C5E-AA18-0CA7A6DE3015,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-05,D77B4DAB-C6AD-4E6F-BBFD-394FC14FC221,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-06,2E05EA04-B620-423B-9848-E970DB50C896,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-07,04C18B95-991C-4E72-AE8F-944FA89141C0,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-12-08,40B351D8-C5CB-4A79-82EE-760767F42C25,barley | 21 - 23,barley,1,kile,currency,21,ops,currency,23,ops,
1910-03-24,1B4369B3-93F6-4BD2-B37E-E1AF178C1A0C,Shunbul of barley cost Ps 130,barley,1,kile,currency,43.33333333333333,ops,
1910-04-12,B28957B7-4CDA-4EE4-86E0-595AF9D4A9AE,kile | barley | 25 | 28,barley,1,kile,currency,25,ops,currency,28,ops,
1910-04-13,473D5E56-CCB2-4615-ADA2-990D863FFDF7,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-14,BE43E149-F7A1-4D2C-84DF-6281A28A8815,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-16,EAAD1EA6-4CF2-44AC-A70C-16B08D61C9C7,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-17,C960D1E4-BE64-4627-928C-1860313E0D27,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-18,4198475D-F11F-4DD1-A20F-07902EC29142,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
