date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1910-04-16,EAAD1EA6-4CF2-44AC-A70C-16B08D61C9C7,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-17,C960D1E4-BE64-4627-928C-1860313E0D27,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-18,4198475D-F11F-4DD1-A20F-07902EC29142,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-19,EE6E6CF7-31D4-4D35-A8F0-FCECDD76F08D,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-20,8C46F237-2C71-4AAA-ADE4-458A98146ECE,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-21,4EEAF267-A2EE-48F7-9D84-9CB7820533EB,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-23,0A56DC6E-6872-45DE-B111-62FA1929BC2D,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-24,8A936191-3329-4B13-8B8B-5AFB30FC32D7,kile | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-25,7E356A0B-55A0-4FCD-8C80-FA45F256286E,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-26,46B7F96F-E72B-4F3E-ADC1-7764B0076774,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-27,94305A2D-5266-4D28-80C6-5A6D1FCF567B,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-04-30,0DCA6B88-F351-43AE-B1B3-2FAD01B4ACA4,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-05-01,58939E13-0613-41E3-BA5A-585653B624FE,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-05-02,BF868648-22FE-46B4-8D48-3F5D899B6D94,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-05-05,0C02D37B-01D9-4378-BF5B-0DB6A730BE13,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-05-09,54381D87-372F-4C89-8ADC-31D0CA570164,- | barley | 24 | 28,barley,1,kile,currency,24,ops,currency,28,ops,
1910-08-27,B25250A4-E884-4869-ADAF-CC77FF71D062,barley is sold at Ps 19 to 22 due to the lack of demand for exports,barley,1,kile,currency,19,ops,currency,22,ops,
1910-09-17,C3322A68-A03D-4283-800C-6832D70FF30C,barley | 20 - 42"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
1910-09-18,15CAF2FD-289C-41E3-A5F4-42D9B04A871E,barley | 20 - 42"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
1910-09-20,E6052AAA-6709-4615-AD28-8A0ADE565AB9,barley | 20 - 22"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
1910-09-24,3F162DCC-5CAA-4C2A-B427-4F46B3B9F6CC,barley | 20 - 22"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
1910-09-28,8715C46A-9A6D-470A-9D3D-127378066934,barley | 20 - 22"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
1910-09-29,4A8C336E-501A-455A-97B5-7888F12ACF6A,barley | 20 - 22"20,barley,1,kile,currency,20,ops,currency,22.5,ops,
