date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1910-05-02,BF868648-22FE-46B4-8D48-3F5D899B6D94,wazana | 1st class flour | 60,flour,1,kg,currency,1.8706959378617167,ops,
1910-05-02,BF868648-22FE-46B4-8D48-3F5D899B6D94,- | farkha class | 59,flour,1,kg,currency,1.839517672230688,ops,
1910-05-02,BF868648-22FE-46B4-8D48-3F5D899B6D94,- | 2nd class | 57,flour,1,kg,currency,1.7771611409686308,ops,
1910-05-05,0C02D37B-01D9-4378-BF5B-0DB6A730BE13,wazana | 1st class flour | 60,flour,1,kg,currency,1.8706959378617167,ops,
1910-05-05,0C02D37B-01D9-4378-BF5B-0DB6A730BE13,- | farkha class | 59,flour,1,kg,currency,1.839517672230688,ops,
1910-05-05,0C02D37B-01D9-4378-BF5B-0DB6A730BE13,- | 2nd class | 57,flour,1,kg,currency,1.7771611409686308,ops,
1910-05-09,54381D87-372F-4C89-8ADC-31D0CA570164,wazana | 1st class flour | 60,flour,1,kg,currency,1.8706959378617167,ops,
1910-05-09,54381D87-372F-4C89-8ADC-31D0CA570164,- | farkha class | 59,flour,1,kg,currency,1.839517672230688,ops,
1910-05-09,54381D87-372F-4C89-8ADC-31D0CA570164,- | 2nd class | 57,flour,1,kg,currency,1.7771611409686308,ops,
1910-08-30,DDD077AA-5977-4BA4-B99E-FEE51256200C,57 | talent (wazana) of flour al-nāʿima,flour,1,kg,currency,1.7771611409686308,ops,
1910-08-30,DDD077AA-5977-4BA4-B99E-FEE51256200C,55 | " " al-farkha,flour,1,kg,currency,1.7148046097065737,ops,
1910-08-30,DDD077AA-5977-4BA4-B99E-FEE51256200C,50 | " " ikinci,flour,1,kg,currency,1.5589132815514306,ops,
1910-08-30,DDD077AA-5977-4BA4-B99E-FEE51256200C,40 | " " mafrūq ṭayyib,flour,1,kg,currency,1.2471306252411445,ops,
1913-03-02,3415153F-102D-41E5-9B72-076E4ADF427C,now it is Ps 3"60 for a wazana of flour,flour,1,kg,currency,0.14030219533962876,ops,
1914-10-16,96E665E4-704F-48FF-BBE5-220720EA214A,raṭl of superb flour: Ps 4"20,flour,0.9999999999999999,kg,currency,1.753777441745359,ops,
1914-10-16,96E665E4-704F-48FF-BBE5-220720EA214A,flour no.1: Ps 4,flour,0.9999999999999999,kg,currency,1.5589132815514304,ops,
1914-10-16,96E665E4-704F-48FF-BBE5-220720EA214A,medium flour: Ps 3"30,flour,0.9999999999999999,kg,currency,1.461481201454466,ops,
