date, location, source, tag
1898-02-07,Bayrūt,2BE9C0CD-A27E-4A3E-9A8F-26E1C44B04DC,prices: falling
1910-06-18,Bayrūt,2C2AA520-DE7F-498D-B5D6-E024F6B0AC0F,prices: falling
1910-06-18,Bayrūt,2C2AA520-DE7F-498D-B5D6-E024F6B0AC0F,prices: high
1907-07-22,Bayrūt,2DEF44D5-D62C-4463-A652-08F9FE226D45,prices: low
1858-02-27,Bayrūt,2E1AABA4-4C52-4E05-B99F-19493AD77AD0,prices: rising
1889-08-26,Damascus,2F76D262-2C6E-4AC7-A630-96B892B63C57,prices: low
1886-04-12,Bayrūt,2FCDA864-E5AA-426F-8FD0-7BFC2EEFB9A3,prices: rising
1910-08-14,Dimashq,30366652-BBE4-455E-B8A5-6B507EA034FB,prices: high
1910-08-14,Dimashq,30366652-BBE4-455E-B8A5-6B507EA034FB,prices: rising
1910-08-21,Dimashq,32644ECA-D952-4DC4-9A99-EDC486558AF0,prices: high
1887-07-11,Damascus,32B8BF89-AD6E-4953-A8A8-3E37D9F40EB3,prices: low
1887-07-11,Damascus,32B8BF89-AD6E-4953-A8A8-3E37D9F40EB3,prices: high
1913-03-02,Dimashq,3415153F-102D-41E5-9B72-076E4ADF427C,prices: falling
1918-03-17,Damaskus,349BC78A-9A07-4540-A289-DA77F90A0D62,prices: high
1918-03-17,Damaskus,349BC78A-9A07-4540-A289-DA77F90A0D62,prices: rising
1883,Leipzig,36AFBD93-6AF6-4719-A182-EFF42E9884DF,prices: high
1883,Leipzig,36AFBD93-6AF6-4719-A182-EFF42E9884DF,prices: rising
1878-03-12,Beirut,39323743-7C9F-4117-8440-298E695B8B6E,prices: high
1878-03-12,Beirut,39323743-7C9F-4117-8440-298E695B8B6E,prices: rising
1879-06-30,Bayrūt,39620C75-D8D4-46D7-A841-C1B8EA1F9B35,prices: rising
1915-01-16,Dimashq,39DEE529-2FC7-4919-8A76-D00B28125339,prices: high
