date, duration, location.name, source, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, 
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"wheat | ton | 11328 | gbp | 50000",wheat,1.15097683335088E7,kg,currency,50000,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"wheat | ton | 56000 | gbp | 325000",wheat,5.689857227017063E7,kg,currency,325000,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"barley | ton | 4850 | gbp | 15500",barley,4.927822776970135E6,kg,currency,15500,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"barley | ton | 9400 | gbp | 38100",barley,9.550831773921499E6,kg,currency,38100,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"oats | ton | 8110 | gbp | 32500",oats,8.240132519840782E6,kg,currency,32500,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"oats | ton | 8300 | gbp | 31200",oats,8.433181247186003E6,kg,currency,31200,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"millet | ton | 825 | gbp | 3300",millet,838237.8950516209,kg,currency,3300,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"millet | ton | 500 | gbp | 2500",millet,508022.966697952,kg,currency,2500,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"rye | ton | 1600 | gbp | 8000",rye,1.6256734934334464E6,kg,currency,8000,gbp,
1893,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"flour | cwt | 250000 | gbp | 72000",flour,1.2700586969628176E7,kg,currency,72000,gbp,
1893,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"cereals | cwt | 25000 | gbp | 7600",cereals,1.2700586969628176E6,kg,currency,7600,gbp,
1892,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"flour | cwt | 187500 | gbp | 70000",flour,9.525440227221131E6,kg,currency,70000,gbp,
1892,P1Y,Haifa,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 50110 | gbp | 70154",wheat,636426.3774081891,kg,currency,70154,gbp,
1893,P1Y,Haifa,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 13910 | gbp | 12519",wheat,176665.15485427878,kg,currency,12519,gbp,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | bushel | 16000 | |",wheat,16000,kg,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"barley | bushel | 32000 | |",barley,32000,kg,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"millet | bushel | 6000 | |",millet,6000,kg,
1892,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"barley | qr | 1228 | |",barley,15596.319925309444,kg,
1892,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 9260 | |",wheat,117607.42875274057,kg,
1893,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 4508 | gbp | 6524",wheat,57254.242852846066,kg,currency,6524,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"flour | qr | 250000 | gbp | 60000",flour,3.1751465645988276E6,kg,currency,60000,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"cereals | qr | 50000 | gbp | 8000",cereals,635029.3129197656,kg,currency,8000,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"flour | qr | 250000 | gbp | 72000",flour,3.1751465645988276E6,kg,currency,72000,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"cereals | qr | 25000 | gbp | 7000",cereals,317514.6564598828,kg,currency,7000,gbp,
1894,P1Y,Alexandretta,A2807B15-24DC-44A9-ADE0-3FE460392616,"cereals | ton | 2043 | gbp | 9891",cereals,2.075781841927832E6,kg,currency,9891,gbp,
1893,P1Y,Alexandretta,A2807B15-24DC-44A9-ADE0-3FE460392616,"cereals | ton | 2394 | gbp | 10357",cereals,2.4324139645497943E6,kg,currency,10357,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"wheat | ton | 13093 | gbp | 52372",wheat,1.3303089405952571E7,kg,currency,52372,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"wheat | ton | 11328 | gbp | 50000",wheat,1.15097683335088E7,kg,currency,50000,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"barley | ton | 4966 | gbp | 14989",barley,5.04568410524406E6,kg,currency,14989,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"barley | ton | 4850 | gbp | 15500",barley,4.927822776970135E6,kg,currency,15500,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"oats | ton | 18617 | gbp | 55851",oats,1.8915727142031547E7,kg,currency,55851,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"oats | ton | 8110 | gbp | 32500",oats,8.240132519840782E6,kg,currency,32500,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"millet | ton | 670 | gbp | 3685",millet,680750.7753752557,kg,currency,3685,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"millet | ton | 825 | gbp | 3300",millet,838237.8950516209,kg,currency,3300,gbp,
1894,P1Y,Jaffa,52572E1A-2890-47EE-AF5C-585A03A25DF7,"maize | qr | 2356 | gbp | 2000",maize,29922.581224779355,kg,currency,2000,gbp,
1893,P1Y,Jaffa,52572E1A-2890-47EE-AF5C-585A03A25DF7,"maize | qr | 3246 | gbp | 2580",maize,41226.10299475118,kg,currency,2580,gbp,
1893,P1Y,Haifa,1E644FDC-B145-458F-9BFA-E39C26F489EA,"wheat | qr | 13910 | gbp | 12519",wheat,176665.15485427878,kg,currency,12519,gbp,
1894,P1Y,Haifa,1E644FDC-B145-458F-9BFA-E39C26F489EA,"wheat | qr | 10845 | gbp | 7050",wheat,137737.85797229715,kg,currency,7050,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"wheat | qr | 44178 | gbp | 57214",wheat,561086.499723388,kg,currency,57214,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"wheat | qr | 58470 | gbp | 75116",wheat,742603.2785283739,kg,currency,75116,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | qr | 575 | gbp | 566",barley,7302.8370985773045,kg,currency,566,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | qr | 1700 | gbp | 1364",barley,21590.996639272027,kg,currency,1364,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 11345 | gbp | 7894",millet,144088.15110149482,kg,currency,7894,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 4877 | gbp | 3692",millet,61940.75918219393,kg,currency,3692,gbp,
1899,P1Y,Tripoli,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 8000 | gbp | 60000",barley,8.128367467167232E6,kg,currency,60000,gbp,
1900,P1Y,Tripoli,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 33000 | gbp | 225000",barley,3.3529515802064832E7,kg,currency,225000,gbp,
1900,P1Y,Saida,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 4500 | |",millet,57152.6381627789,kg,
1900,P1Y,Latakia,FE843889-C0E6-49B7-AB06-8F36740A5B99,"cereals | ton | 5000 | gbp | 39000",cereals,5.080229666979521E6,kg,currency,39000,gbp,
1899,P1Y,Latakia,FE843889-C0E6-49B7-AB06-8F36740A5B99,"cereals | ton | 9250 | gbp | 67562",cereals,9.398424883912113E6,kg,currency,67562,gbp,
1899,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"wheat | qr | 0 | gbp | 0",wheat,0,kg,currency,0,gbp,
1899,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"maize | qr | 300 | gbp | 1350",maize,3810.175877518593,kg,currency,1350,gbp,
1898,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"wheat | qr | 10000 | gbp | 14000",wheat,127005.86258395312,kg,currency,14000,gbp,
1898,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"maize | qr | 3000 | gbp | 3000",maize,38101.75877518593,kg,currency,3000,gbp,
1900,P1Y,Beirut,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 3500 | gbp | 13000",barley,3.5561607668856643E6,kg,currency,13000,gbp,
1899,P1Y,Beirut,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 4000 | gbp | 15200",barley,4.064183733583616E6,kg,currency,15200,gbp,
1898,P1Y,Damascus,03C4A6FC-AA3B-4D47-ADA9-61DC253CE8EC,"barley | qr | 7188 | gbp | 8000",barley,91291.8140253455,kg,currency,8000,gbp,
1898,P1Y,Beirut,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 2100 | gbp | 9475",barley,2.1336964601313984E6,kg,currency,9475,gbp,
1897,P1Y,Beirut,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 4150 | gbp | 16000",barley,4.216590623593002E6,kg,currency,16000,gbp,
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | qr | 67500 | gbp | 102942",wheat,857289.5724416835,kg,currency,102942,gbp,
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | qr | 6600 | gbp | 3970",barley,83823.86930540905,kg,currency,3970,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | qr | 36062 | gbp | 54093",wheat,458008.5416502517,kg,currency,54093,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | qr | 1705 | gbp | 1065",barley,21654.499570564007,kg,currency,1065,gbp,
