schema:place,schema:latitude,schema:longitude,schema:language,schema:identifier
النبطية,33.37717,35.48383,ar,geon:7870014
النبك,34.022298,36.730134,ar,geon:108648
النجف,31.25,43.83333,ar,geon:98862
النجف الأشرف,31.25,43.83333,ar,geon:98862
النمسا,47.33333,13.33333,ar,geon:2782113
الهند,22,79,ar,geon:1269750
الولايات العثمانية,39,35,ar,
الولايات المتحدة,39.76,-98.5,ar,geon:6252001
الولايات المتحدة الأميركية,39.76,-98.5,ar,geon:6252001
اليابان,35.68536,139.75309,ar,geon:1861060
اليرموك,33.47078,36.30571,ar,geon:8422856
اليمن,15.5,47.5,ar,geon:69543
اليونان,39,22,ar,geon:390903
اوماها,41.25626,-95.94043,ar,geon:5074472
باب الجابية,33.5055,36.3013,ar,geon:8379592
باب تومى,33.5108,36.3154,ar,geon:7642471
باب سريجة,33.5049,36.2982,ar,geon:7642482
بابل,32.53333,44.61667,ar,geon:98227
باريز,27.3054,56.6739,ar,geon:141254
باريس,27.3054,56.6739,ar,geon:141254
باكو,40.37767,49.89201,ar,geon:587084
بحصة,33.51262,36.29969,ar,geon:7642463
برلين,52.52437,13.41053,ar,geon:2950159
برن,46.94809,7.44744,de-Arab-AR,geon:2661552
بروسيا,53.5,18,ar,geon:3082436
بروفيدنس,41.82399,-71.41283,ar,geon:5224151
بصر الحرير,32.84456,36.34077,ar,geon:171127
بصرى الشام,32.52013,36.48256,ar,geon:171126
بطرسبرج,59.93863,30.31413,ar,geon:498817
بعبدا,33.83389,35.54417,ar,geon:277226
بلاد الشام,32.8686,44.84908,ar,geon:6754242
بلاد الهند,22,79,ar,geon:1269750
بلاد برازيل,-10,-55,ar,geon:3469034
بلغاريا,42.66667,25.25,ar,geon:732800
بوستون,42.35843,-71.05977,en-Arab-AR,geon:4930956
بوسطن,42.35843,-71.05977,ar,geon:4930956
بولونيا,44.49381,11.33875,ar,geon:3181928
بوليفيا,-17,-65,ar,geon:3923057
بونس آيرس,-34.61315,-58.37723,ar,geon:3435910
بونس أيرس,-34.61315,-58.37723,ar,geon:3435910
بيرن,46.94809,7.44744,ar,geon:2661552
بيرو,-10,-75.25,ar,geon:3932488
بيروت,33.88894,35.49442,ar,geon:276781
تبوك,28.38333,36.58333,ar,geon:101628
تونس,36.81897,10.16579,ar,geon:2464470
جامع التقية,33.51249,36.29164,,geon:7642725
جامع التكية السليمانية,33.51249,36.29164,,geon:7642725
جامع التوبة,33.51523,36.30435,,geon:7642661
جامع السادات,33.51563,36.3109,,geon:8430647
جامع السادات أقصاب,33.51563,36.3109,,geon:8430647
جبل الشيخ,33.41379,35.85741,ar,geon:169612
جبل حوران,32.547050,36.727888,ar,geon:170560
جبل عامل,33.16667,35.36667,,geon:278960
جبل قلمون,33.62882,36.44801,ar,geon:166237
جبل لبنان,33.91667,35.66667,ar,geon:273607
جدة,21.54238,39.19797,ar,geon:105343
جزيرة العرب,25,45,ar,geon:6957697
جنيف,46.20222,6.14569,fr-Arab-AR,geon:2660646
جوبر,33.52328,36.33496,ar,geon:169137
جوتلاند,57.5,18.55,ar,geon:2711511
جونية,33.41627,36.15134,ar,geon:8041193
حرستا,33.55869,36.36515,ar,geon:169897
حلوان,29.84144,31.30084,ar,geon:355795
حوران,32.547050,36.727888,ar,geon:170560
حيفا,32.81841,34.9885,ar,geon:294801
حيفاء,32.81841,34.9885,ar,geon:294801
خراسان,37.5,57,ar,geon:6201376
دار السلطنة,41.01384,28.94966,ar,geon:745044
درعا,32.61889,36.10213,ar,geon:170905
دمر,33.53148,36.2436,ar,geon:170585
دمنهور,31.03408,30.46823,ar,geon:358448
دير الزور,35.33588,40.14084,ar,geon:170794
دير عطية,34.143,36.75974,ar,geon:7895199
راشيا,33.53333,35.83333,ar,geon:268737
روسيا,60,100,ar,geon:2017370
رومانيا,46,25,ar,geon:798549
زرقاء,32.07275,36.08796,ar,geon:250090
زوريخ,47.36667,8.55,de-Arab-AR,geon:2657896
زيورخ,47.36667,8.55,ar,geon:2657896
ساحة الاتحاد,33.51641,36.31619,ar,geon:7642535
سالزبورغ,47.79941,13.04399,ar,geon:2766824
سان باولو,-23.5475,-46.63611,ar,geon:3448439
سان فرنسيسكو,9.99299,-84.12934,en-Arab-AR,geon:3621911
سانتارم,39.28881,-8.50192,fr-Arab-AR,geon:2263478
سبرنجفيلد,39.80172,-89.64371,en-Arab-Ar,geon:4250542
سبرينج فيلد، إلينوي,39.80172,-89.64371,ar,geon:4250542
سروج,36.85119,38.47967,ar,geon:9233
سلانيك,40.64361,22.93086,ar,geon:734077
سورية,35,38,ar,geon:163843
سويسرا,47.00016,8.01427,ar,geon:2658434
شهرة عينتاب,37.05944,37.3825,ar,geon:314830
شيكاغو,41.85003,-87.65005,ar,geon:4887398
صور,33.27333,35.19389,ar,geon:267008
صيدا,33.55751,35.37148,ar,geon:268064
صيدنايا,33.69768,36.37301,ar,geon:164717
طبريا,32.79221,35.53124,ar,geon:293322
طبرية,32.79221,35.53124,ar,geon:293322
طرابلس,34.43352,35.84415,ar,geon:266826
طرابلس الشام,34.43352,35.84415,ar,geon:266826
طرابلس الغرب,33.49199,36.24247,ar,geon:11713946
طنطا,30.78847,31.00192,ar,geon:347497
طهران,35.69439,51.42151,ar,geon:112931
طوس,36.69323,53.28435,ar,geon:385399
عبي,33.73556,35.52722,ar,geon:276789
عشاق,38.67351,29.4058,ar,geon:298299
عقيبة,36.43822,36.96762,ar,geon:173134
عكا,32.923925,35.070630,ar,geon:295721
عكار,34.54278,36.07972,ar,geon:274723
عليه,33.810086,35.603245,ar,geon:280425
عين الزرفا,32.07275,36.08796,ar,geon:250090
عين الفيجة,33.63578,36.18944,ar,geon:7894838
عين تاب,37.05944,37.3825,ar,geon:314830
عينتاب,37.05944,37.3825,ar,geon:314830
غرناطة,37.18817,-3.60667,ar,geon:2517117
غلاسكو,55.86515,-4.25763,ar,geon:2648579
فاس,34.03313,-5.00028,ar,geon:2548885
فرجينيا,-28.10391,26.86593,en-Arab-AR,geon:943882
فرنسا,46,2,ar,geon:3017382
فلسطين,31.92157,35.20329,ar,geon:6254930
فيلادلفيا,39.95233,-75.16379,ar,geon:4560349
فينا,48.20849,16.37208,ar,geon:2761369
قابون,33.54309,36.33604,ar,geon:173396
قاهرة,30.06263,31.24967,ar,geon:360630
قزان,55.78874,49.12214,ar,geon:551487
قضاء راشيا,33.53333,35.83333,ar,geon:268737
كرسون,33.0052,49.234,ar,geon:6746378
كفر الزيات,30.8248,30.81805,ar,geon:354365
لبنان,33.91667,35.66667,ar,geon:273607
لندرا,51.50853,-0.12574,ar,geon:2643743
لندن,51.50853,-0.12574,ar,geon:2643743
لنكلن,40.8,-96.66696,en-Arab-AR,geon:5072006
لنكن,40.8,-96.66696,ar,geon:5072006
لواء الكرك,31.16121,35.82527,ar,geon:8621697
ليدن,52.15833,4.49306,ar,geon:2751773
ليون,45.74846,4.84671,fr-Arab-AR,geon:2996944
محطة الحجاز,33.51119,36.29502,ar,geon:173780
محطة القطار (البرامكة),33.51667,36.28333,ar,geon:171794
مدينة بيروت,33.88894,35.49442,ar,geon:276781
مدينة لكنأو,26.83928,80.92313,ar,geon:1264733
مرج عيون,33.27511,35.53822,ar,geon:271225
مرجعيون,33.27511,35.53822,ar,geon:271225
مسجد القصب,33.51563,36.3109,,geon:8430647
مصر,30.06263,31.24967,ar,geon:360630
معرة النعمان,35.6483,36.67693,ar,geon:167611
معلولا,33.8249,36.57539,ar,geon:7894734
مكة,21.42664,39.82563,ar,geon:104515
مكتب عنبر,33.50997,36.30958,ar,geon:8373421
مناستر,36.54468,32.84385,ar,geon:324603
منشستر,36.54468,32.84385,ar,geon:324603
منطقة حماة,35.28577,37.12626,ar,geon:170016
موسقو,55.75222,37.61556,ar,geon:524901
ميلان,45.46427,9.18951,ar,geon:3173435
نابلس,32.24056,35.28708,ar,geon:7870555
ناحية جرمانا,33.49227,36.35075,ar,geon:8609526
ناحية دير عطية,34.143,36.75974,ar,geon:7895199
ناحية معلولا,33.8249,36.57539,ar,geon:7894734
نبراسكا,41.50028,-99.75067,ar,geon:5073708
نروج,62,10,ar,geon:3144096
نهر الشريعة,31.76025,35.55792,ar,geon:294624
نوفوغوردو,56.32867,44.00205,ar,geon:520555
نيويورك,40.71427,-74.00597,ar,geon:5128581
هايدلبرغ,49.40768,8.69079,ar,geon:2907911
هولندة,18.10358,-77.80164,ar,geon:11495075
وادي موسى,30.32096,35.47895,ar,geon:246008
ولاية أيوا,42.00027,-93.50049,ar,geon:4862182
ولاية الالاسكا,64.00028,-150.00028,ar,geon:5879092
ولاية سوريا,35,38,ar,geon:163843
ولاية سورية,35,38,ar,geon:163843
ولاية نيوجرسي,40.75766,-73.91327,ar,geon:6955102
يابان,35.68536,139.75309,ar,geon:1861060
Ḥalab,36.20124,37.16117,ar-Latn-x-ijmes,geon:170063
Ḥalwān,29.84144,31.30084,ar-Latn-x-ijmes,geon:355795
Ḥamāh,35.13179,36.75783,ar-Latn-x-ijmes,geon:170017
Ḥamīdiyya Hospital,33.51142,36.29164,,
Ḥaristā,33.55869,36.36515,ar-Latn-x-ijmes,geon:169897
Ḥayfā,32.81841,34.9885,ar-Latn-x-ijmes,geon:294801
Ḥijāz railway station,33.51119,36.29502,,geon:173780
Ḥimṣ,34.72682,36.72339,,geon:169577
Ḥomṣ,34.72682,36.72339,ar-Latn-x-ijmes,geon:169577
Ḥumṣ,34.72682,36.72339,,geon:169577
Ḥāṣbayā,33.39778,35.685,ar-Latn-x-ijmes,geon:274313
Ḩamāh,35.13179,36.75783,,geon:170017
Ṣaida,33.55751,35.37148,ar-Latn-x-ijmes,geon:268064
Ṣaydnāyā,33.69768,36.37301,ar-Latn-x-ijmes,geon:164717
Ṭanṭā,30.78847,31.00192,ar-Latn-x-ijmes,geon:347497
Ṭarāblus,34.43352,35.84415,ar-Latn-x-ijmes,geon:266826
Ṭarāblus al-Shām,34.43352,35.84415,ar-Latn-x-ijmes,geon:266826
‘Ajlūn,32.33385,35.75238,,geon:250799
