schema:date, duration, schema:Place, source, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, commodity-3, quantity-3, unit-3,
1890,P1Y,Jaffa,4E6DC2B2-9835-496C-A069-E706B7277DE0,"wheat | qr | 20805 | gbp | 19920",wheat,1,kg,currency,0.07538724032436617,gbp,
1890,P1Y,Jaffa,4E6DC2B2-9835-496C-A069-E706B7277DE0,"maize | qr | 17476 | gbp | 11240",maize,1,kg,currency,0.05064079404370873,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 28850 | gbp | 16500",wheat,1,kg,currency,0.0005628916220247451,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"barley | ton | 18250 | gbp | 58500",barley,1,kg,currency,0.003154856829495103,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"oats | ton | 10300 | gbp | 33000",oats,1,kg,currency,0.003153286076779397,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"millet | ton | 600 | gbp | 1650",millet,1,kg,currency,0.0027065705492356497,gbp,
1891,P1Y,Adana,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 100000 | gbp | 633000",wheat,0.9999999999999999,kg,currency,0.00623003330060424,gbp,
1891,P1Y,Adana,ABDA2C1D-2396-475F-B922-B3307910D959,"barley | ton | 66500 | gbp | 340400",barley,1,kg,currency,0.005037958249951142,gbp,
1891,P1Y,Adana,ABDA2C1D-2396-475F-B922-B3307910D959,"millet | ton | 4900 | gbp | 24500",millet,1,kg,currency,0.004921037362246636,gbp,
1891,P1Y,Alexandretta,ABDA2C1D-2396-475F-B922-B3307910D959,"cereals | ton | 19496 | gbp | 113004",cereals,0.9999999999999999,kg,currency,0.005704728211769786,gbp,
1891,P1Y,Damascus,7DFF128B-44EC-434C-B1C3-E74CB611A1E1,"flour | cwt | 125000 | gbp | 53960",flour,1,kg,currency,0.00849724506891507,gbp,
1891,P1Y,Jaffa,4E6DC2B2-9835-496C-A069-E706B7277DE0,"wheat | qr | 2695 | gbp | 3300",wheat,0.9999999999999999,kg,currency,0.09641206878217594,gbp,
1891,P1Y,Jaffa,4E6DC2B2-9835-496C-A069-E706B7277DE0,"maize | qr | 18325 | gbp | 17300",maize,1,kg,currency,0.0743324335667581,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 62000 | gbp | 393000",wheat,1,kg,currency,0.0062386054302029925,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"barley | ton | 31500 | gbp | 22500",barley,0.9999999999999999,kg,currency,0.000703005337463805,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"oats | ton | 5600 | gbp | 22500",oats,1,kg,currency,0.003954405023233903,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"millet | ton | 1900 | gbp | 9500",millet,0.9999999999999999,kg,currency,0.004921037362246635,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"wheat | ton | 56000 | gbp | 325000",wheat,1,kg,currency,0.005711918366893416,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"barley | ton | 9400 | gbp | 38100",barley,1,kg,currency,0.003989181351097804,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"oats | ton | 8300 | gbp | 31200",oats,1,kg,currency,0.0036996714627010848,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"millet | ton | 500 | gbp | 2500",millet,1,kg,currency,0.004921037362246635,gbp,
1892,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"rye | ton | 1600 | gbp | 8000",rye,1,kg,currency,0.004921037362246635,gbp,
1892,P1Y,Alexandretta,729A9379-398E-48D9-864C-7A56EE088030,"cereals | ton | 7113 | gbp | 36211",cereals,1,kg,currency,0.0050104227168371405,gbp,
1892,P1Y,Damascus,7DFF128B-44EC-434C-B1C3-E74CB611A1E1,"flour | cwt | 187500 | gbp | 70000",flour,1,kg,currency,0.0073487417200896335,gbp,
1892,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"flour | cwt | 187500 | gbp | 70000",flour,1,kg,currency,0.0073487417200896335,gbp,
1892,P1Y,Haifa,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 50110 | gbp | 70154",wheat,1,kg,currency,0.11023113197428781,gbp,
1892,P1Y,Jaffa,E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0,"maize | qr | 695 | gbp | 420",maize,1,kg,currency,0.04758178358602353,gbp,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | bushel | 16000 | |",wheat,14222.222222222223,kile,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"barley | bushel | 32000 | |",barley,28444.444444444445,kile,
1892,P1Y,Saida,3AB233EA-2076-4723-AABE-1499E9326D5C,"millet | bushel | 6000 | |",millet,5333.333333333333,kile,
1892,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"barley | qr | 1228 | |",barley,15596.319925309444,kg,
1892,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 9260 | |",wheat,117607.42875274057,kg,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"wheat | ton | 11328 | gbp | 50000",wheat,1,kg,currency,0.00434413608955388,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"barley | ton | 4850 | gbp | 15500",barley,1,kg,currency,0.0031454053243225913,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"oats | ton | 8110 | gbp | 32500",oats,0.9999999999999999,kg,currency,0.003944111326091631,gbp,
1893,P1Y,Adana,729A9379-398E-48D9-864C-7A56EE088030,"millet | ton | 825 | gbp | 3300",millet,0.9999999999999999,kg,currency,0.003936829889797307,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"wheat | ton | 11328 | gbp | 50000",wheat,1,kg,currency,0.00434413608955388,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"barley | ton | 4850 | gbp | 15500",barley,1,kg,currency,0.0031454053243225913,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"oats | ton | 8110 | gbp | 32500",oats,0.9999999999999999,kg,currency,0.003944111326091631,gbp,
1893,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"millet | ton | 825 | gbp | 3300",millet,0.9999999999999999,kg,currency,0.003936829889797307,gbp,
1893,P1Y,Alexandretta,729A9379-398E-48D9-864C-7A56EE088030,"cereals | ton | 2394 | gbp | 10357",cereals,1,kg,currency,0.004257910105329023,gbp,
1893,P1Y,Alexandretta,A2807B15-24DC-44A9-ADE0-3FE460392616,"cereals | ton | 2394 | gbp | 10357",cereals,1,kg,currency,0.004257910105329023,gbp,
1893,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"flour | cwt | 250000 | gbp | 72000",flour,1,kg,currency,0.005669029326926288,gbp,
1893,P1Y,Damascus,5BACF30F-DD45-4D02-ABB8-E3723CC7B194,"cereals | cwt | 25000 | gbp | 7600",cereals,1,kg,currency,0.005983975400644415,gbp,
1893,P1Y,Haifa,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 13910 | gbp | 12519",wheat,0.9999999999999999,kg,currency,0.07086287055489932,gbp,
1893,P1Y,Haifa,1E644FDC-B145-458F-9BFA-E39C26F489EA,"wheat | qr | 13910 | gbp | 12519",wheat,0.9999999999999999,kg,currency,0.07086287055489932,gbp,
1893,P1Y,Jaffa,E01E25C5-9CFE-4D35-8FB2-A3DFB7EC8EF0,"maize | qr | 3246 | gbp | 2580",maize,1,kg,currency,0.06258170946520171,gbp,
1893,P1Y,Jaffa,52572E1A-2890-47EE-AF5C-585A03A25DF7,"maize | qr | 3246 | gbp | 2580",maize,1,kg,currency,0.06258170946520171,gbp,
1893,P1Y,Tripoli,3AB233EA-2076-4723-AABE-1499E9326D5C,"wheat | qr | 4508 | gbp | 6524",wheat,1,kg,currency,0.11394788708965865,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"wheat | ton | 13093 | gbp | 52372",wheat,1,kg,currency,0.003936829889797308,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"barley | ton | 4966 | gbp | 14989",barley,1,kg,currency,0.002970657632811712,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"oats | ton | 18617 | gbp | 55851",oats,1,kg,currency,0.002952622417347981,gbp,
1894,P1Y,Adana,A2807B15-24DC-44A9-ADE0-3FE460392616,"millet | ton | 670 | gbp | 3685",millet,1,kg,currency,0.005413141098471299,gbp,
1894,P1Y,Alexandretta,A2807B15-24DC-44A9-ADE0-3FE460392616,"cereals | ton | 2043 | gbp | 9891",cereals,0.9999999999999999,kg,currency,0.004764951595690794,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"flour | qr | 250000 | gbp | 60000",flour,1,kg,currency,0.018896765481306484,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"cereals | qr | 50000 | gbp | 8000",cereals,1,kg,currency,0.012597843654204322,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"flour | qr | 250000 | gbp | 72000",flour,1,kg,currency,0.022676118577567784,gbp,
1894,P1Y,Damascus,8D01452F-7446-4B13-8286-C699929310FE,"cereals | qr | 25000 | gbp | 7000",cereals,1,kg,currency,0.022046226394857565,gbp,
1894,P1Y,Haifa,1E644FDC-B145-458F-9BFA-E39C26F489EA,"wheat | qr | 10845 | gbp | 7050",wheat,1,kg,currency,0.05118418497126584,gbp,
1894,P1Y,Jaffa,52572E1A-2890-47EE-AF5C-585A03A25DF7,"maize | qr | 2356 | gbp | 2000",maize,1,kg,currency,0.06683915351339305,gbp,
1894,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"maize | qr | 2356 | gbp | 2000",maize,1,kg,currency,0.06683915351339305,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"wheat | qr | 4970 | gbp | 3560",wheat,1,kg,currency,0.056398797043470054,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"maize | qr | 4726 | gbp | 3200",maize,1,kg,currency,0.053312922785460536,gbp,
1895,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"barley | qr | 650 | gbp | 360",barley,1,kg,currency,0.04360792034147651,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"wheat | qr | 4970 | gbp | 3560",wheat,1,kg,currency,0.056398797043470054,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"maize | qr | 4726 | gbp | 3200",maize,1,kg,currency,0.053312922785460536,gbp,
1895,P1Y,Jaffa,48EF5545-F790-4F88-BEC9-F2B7EA906728,"barley | qr | 650 | gbp | 360",barley,1,kg,currency,0.04360792034147651,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"wheat | qr | 1091 | gbp | 1920",wheat,1,kg,currency,0.13856473313515297,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"maize | qr | 20850 | gbp | 14178",maize,1,kg,currency,0.053540835530368376,gbp,
1896,P1Y,Jaffa,35862167-C38B-44F4-BD35-171623673E22,"barley | qr | 1000 | gbp | 635",barley,1,kg,currency,0.049997692002623405,gbp,
1897,P1Y,Beirut,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 4150 | gbp | 16000",barley,1,kg,currency,0.003794534833539574,gbp,
1897,P1Y,Beirut,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | ton | 4150 | gbp | 16000",barley,1,kg,currency,0.003794534833539574,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | qr | 36062 | gbp | 54093",wheat,1,kg,currency,0.11810478425816553,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | qr | 1705 | gbp | 1065",barley,1,kg,currency,0.049181464412491216,gbp,
1897,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"millet | qr | 16988 | gbp | 14864",millet,1,kg,currency,0.06889214006802341,gbp,
1897,P1Y,Haifa,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"wheat | qr | 36062 | gbp | 54093",wheat,1,kg,currency,0.11810478425816553,gbp,
1897,P1Y,Haifa,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | qr | 1705 | gbp | 1065",barley,1,kg,currency,0.049181464412491216,gbp,
1897,P1Y,Tripoli,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"wheat | ton | 4500 | gbp | 25000",wheat,1,kg,currency,0.005467819291385151,gbp,
1897,P1Y,Tripoli,D3198FBB-974F-4308-BBC8-A682A14CD4F4,"barley | ton | 14755 | gbp | 50020",barley,0.9999999999999999,kg,currency,0.003336500018428691,gbp,
1898,P1Y,Beirut,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 2100 | gbp | 9475",barley,1,kg,currency,0.004440650381646369,gbp,
1898,P1Y,Damascus,03C4A6FC-AA3B-4D47-ADA9-61DC253CE8EC,"barley | qr | 7188 | gbp | 8000",barley,1,kg,currency,0.08763107717170508,gbp,
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | qr | 67500 | gbp | 102942",wheat,0.9999999999999999,kg,currency,0.12007844643065753,gbp,
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | qr | 6600 | gbp | 3970",barley,1,kg,currency,0.047361211465143147,gbp,
1898,P1Y,Haifa,A85C3773-BED0-4F10-A05B-BA718961F238,"millet | qr | 10500 | gbp | 8235",millet,1,kg,currency,0.06175193005498369,gbp,
1898,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"wheat | qr | 10000 | gbp | 14000",wheat,0.9999999999999999,kg,currency,0.11023113197428781,gbp,
1898,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"maize | qr | 3000 | gbp | 3000",maize,1,kg,currency,0.07873652283877702,gbp,
1898,P1Y,Latakia,A85C3773-BED0-4F10-A05B-BA718961F238,"cereals | ton | 3941 | gbp | 23645.4",cereals,1,kg,currency,0.0059050949934162196,gbp,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"wheat | ton | 1250 | |",wheat,1.2700574167448801E6,kg,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"barley | ton | 5000 | |",barley,5.080229666979521E6,kg,
1898,P1Y,Tripoli,A85C3773-BED0-4F10-A05B-BA718961F238,"maize | ton | 750 | |",maize,762034.450046928,kg,
1899,P1Y,Beirut,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 4000 | gbp | 15200",barley,1,kg,currency,0.003739988395307443,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"wheat | qr | 44178 | gbp | 57214",wheat,1,kg,currency,0.10197001715102062,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | qr | 575 | gbp | 566",barley,1,kg,currency,0.07750412508999616,gbp,
1899,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 4877 | gbp | 3692",millet,1,kg,currency,0.05960533982381891,gbp,
1899,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"wheat | qr | 0 | gbp | 0",wheat,NaN,kg,currency,NaN,gbp,
1899,P1Y,Jaffa,B8E3F7E8-1451-42DA-B1FD-168D39F17932,"maize | qr | 300 | gbp | 1350",maize,1,kg,currency,0.3543143527744966,gbp,
1899,P1Y,Latakia,FE843889-C0E6-49B7-AB06-8F36740A5B99,"cereals | ton | 9250 | gbp | 67562",cereals,1,kg,currency,0.007188651378769884,gbp,
1899,P1Y,Tripoli,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 8000 | gbp | 60000",barley,1,kg,currency,0.0073815560433699535,gbp,
1900,P1Y,Beirut,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 3500 | gbp | 13000",barley,1,kg,currency,0.003655627754811786,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"wheat | qr | 58470 | gbp | 75116",wheat,1,kg,currency,0.10115226012583503,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | qr | 1700 | gbp | 1364",barley,1,kg,currency,0.0631744806777011,gbp,
1900,P1Y,Haifa,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 11345 | gbp | 7894",millet,1,kg,currency,0.05478590668041479,gbp,
1900,P1Y,Latakia,FE843889-C0E6-49B7-AB06-8F36740A5B99,"cereals | ton | 5000 | gbp | 39000",cereals,1,kg,currency,0.00767681828510475,gbp,
1900,P1Y,Saida,FE843889-C0E6-49B7-AB06-8F36740A5B99,"millet | qr | 4500 | |",millet,57152.6381627789,kg,
1900,P1Y,Tripoli,FE843889-C0E6-49B7-AB06-8F36740A5B99,"barley | ton | 33000 | gbp | 225000",barley,1,kg,currency,0.006710505493972685,gbp,
